ts,symbol,interval,open,high,low,close,volume,source
2026-03-06 01:42:00+00:00,BTC-USD,1m,71090.78,71164.4,71086.64,71147.43,22.04602,binance
2026-03-06 01:43:00+00:00,BTC-USD,1m,71147.8,71147.8,71103.89,71119.3,5.37131,binance
2026-03-06 01:44:00+00:00,BTC-USD,1m,71119.31,71166.83,71119.01,71161.19,32.82679,binance
2026-03-06 01:45:00+00:00,BTC-USD,1m,71161.19,71206.32,71149.55,71150.01,16.39759,binance
2026-03-06 01:46:00+00:00,BTC-USD,1m,71150.01,71150.01,71076.46,71112.66,13.71258,binance
2026-03-06 01:47:00+00:00,BTC-USD,1m,71112.67,71249.74,71100.39,71216.58,21.52927,binance
2026-03-06 01:48:00+00:00,BTC-USD,1m,71216.58,71261.29,71127.86,71127.86,13.3129,binance
2026-03-06 01:49:00+00:00,BTC-USD,1m,71127.86,71162.65,71096.86,71162.65,6.69231,binance
2026-03-06 01:50:00+00:00,BTC-USD,1m,71162.65,71181.02,71129.04,71139.88,9.6344,binance
2026-03-06 01:51:00+00:00,BTC-USD,1m,71139.87,71266.66,71139.87,71254.67,15.04775,binance
2026-03-06 01:52:00+00:00,BTC-USD,1m,71254.66,71286.69,71248.21,71274.78,8.48487,binance
2026-03-06 01:53:00+00:00,BTC-USD,1m,71274.79,71274.79,71218.42,71233.45,5.25554,binance
2026-03-06 01:54:00+00:00,BTC-USD,1m,71233.45,71243.64,71149.59,71192.42,11.80601,binance
2026-03-06 01:55:00+00:00,BTC-USD,1m,71192.42,71233.14,71174.7,71233.13,5.75118,binance
2026-03-06 01:56:00+00:00,BTC-USD,1m,71233.14,71275.47,71224.67,71244.33,5.71953,binance
2026-03-06 01:57:00+00:00,BTC-USD,1m,71244.33,71301.74,71236.68,71264.9,13.06278,binance
2026-03-06 01:58:00+00:00,BTC-USD,1m,71264.9,71264.9,71228.08,71242.73,8.51799,binance
2026-03-06 01:59:00+00:00,BTC-USD,1m,71242.73,71269.91,71242.73,71257.2,4.35867,binance
2026-03-06 02:00:00+00:00,BTC-USD,1m,71257.2,71264.88,71186.0,71210.35,16.03715,binance
2026-03-06 02:01:00+00:00,BTC-USD,1m,71210.95,71277.04,71200.0,71200.01,4.63933,binance
2026-03-06 02:02:00+00:00,BTC-USD,1m,71200.0,71228.55,71169.8,71222.06,5.64346,binance
2026-03-06 02:03:00+00:00,BTC-USD,1m,71222.06,71310.36,71201.11,71279.23,8.7022,binance
2026-03-06 02:04:00+00:00,BTC-USD,1m,71279.22,71279.23,71200.0,71215.01,4.09783,binance
2026-03-06 02:05:00+00:00,BTC-USD,1m,71215.01,71225.94,71190.88,71220.89,11.70656,binance
2026-03-06 02:06:00+00:00,BTC-USD,1m,71220.88,71225.81,71172.0,71207.94,8.91867,binance
2026-03-06 02:07:00+00:00,BTC-USD,1m,71207.95,71289.46,71207.95,71275.19,3.63991,binance
2026-03-06 02:08:00+00:00,BTC-USD,1m,71275.19,71312.4,71275.19,71295.71,4.39053,binance
2026-03-06 02:09:00+00:00,BTC-USD,1m,71295.71,71295.71,71245.53,71271.0,4.32672,binance
2026-03-06 02:10:00+00:00,BTC-USD,1m,71271.0,71271.0,71227.21,71228.12,6.64314,binance
2026-03-06 02:11:00+00:00,BTC-USD,1m,71228.12,71240.16,71214.81,71240.15,3.61157,binance
2026-03-06 02:12:00+00:00,BTC-USD,1m,71240.16,71347.69,71240.15,71341.77,12.84293,binance
2026-03-06 02:13:00+00:00,BTC-USD,1m,71341.78,71379.41,71327.79,71368.77,9.00561,binance
2026-03-06 02:14:00+00:00,BTC-USD,1m,71368.77,71373.56,71312.18,71330.3,9.1212,binance
2026-03-06 02:15:00+00:00,BTC-USD,1m,71330.29,71330.29,71300.93,71310.86,7.83895,binance
2026-03-06 02:16:00+00:00,BTC-USD,1m,71310.87,71346.63,71258.28,71273.6,7.47028,binance
2026-03-06 02:17:00+00:00,BTC-USD,1m,71273.6,71297.05,71258.05,71268.86,7.36378,binance
2026-03-06 02:18:00+00:00,BTC-USD,1m,71268.86,71268.86,71172.41,71172.41,12.01918,binance
2026-03-06 02:19:00+00:00,BTC-USD,1m,71172.42,71195.63,71172.41,71175.67,6.27144,binance
2026-03-06 02:20:00+00:00,BTC-USD,1m,71175.67,71208.49,71076.47,71170.82,23.06775,binance
2026-03-06 02:21:00+00:00,BTC-USD,1m,71170.82,71170.82,71036.0,71129.81,19.77719,binance
2026-03-06 02:22:00+00:00,BTC-USD,1m,71129.81,71160.86,71107.79,71160.86,13.08439,binance
2026-03-06 02:23:00+00:00,BTC-USD,1m,71160.86,71204.96,71117.71,71142.74,7.41184,binance
2026-03-06 02:24:00+00:00,BTC-USD,1m,71142.74,71200.0,71142.55,71200.0,6.96446,binance
2026-03-06 02:25:00+00:00,BTC-USD,1m,71200.0,71400.0,71199.99,71400.0,25.07044,binance
2026-03-06 02:26:00+00:00,BTC-USD,1m,71399.99,71419.98,71254.55,71254.56,16.85971,binance
2026-03-06 02:27:00+00:00,BTC-USD,1m,71254.56,71254.56,71200.04,71206.02,5.99936,binance
2026-03-06 02:28:00+00:00,BTC-USD,1m,71206.02,71285.18,71206.02,71285.18,44.13439,binance
2026-03-06 02:29:00+00:00,BTC-USD,1m,71285.19,71358.66,71279.85,71335.89,17.28549,binance
2026-03-06 02:30:00+00:00,BTC-USD,1m,71335.9,71355.71,71263.47,71263.47,7.07401,binance
2026-03-06 02:31:00+00:00,BTC-USD,1m,71263.48,71272.85,71251.44,71256.28,9.9011,binance
2026-03-06 02:32:00+00:00,BTC-USD,1m,71256.28,71257.02,71185.74,71212.87,16.3661,binance
2026-03-06 02:33:00+00:00,BTC-USD,1m,71212.86,71241.76,71182.93,71182.94,20.54451,binance
2026-03-06 02:34:00+00:00,BTC-USD,1m,71182.94,71199.99,71181.18,71181.99,7.18426,binance
2026-03-06 02:35:00+00:00,BTC-USD,1m,71181.99,71195.4,71142.0,71168.64,4.05229,binance
2026-03-06 02:36:00+00:00,BTC-USD,1m,71168.65,71210.45,71150.85,71169.36,6.81022,binance
2026-03-06 02:37:00+00:00,BTC-USD,1m,71169.36,71210.44,71161.2,71161.98,3.5233,binance
2026-03-06 02:38:00+00:00,BTC-USD,1m,71161.99,71164.16,71149.64,71164.16,1.86055,binance
2026-03-06 02:39:00+00:00,BTC-USD,1m,71164.16,71247.47,71164.16,71247.47,6.36991,binance
2026-03-06 02:40:00+00:00,BTC-USD,1m,71247.46,71300.0,71234.07,71234.07,8.99017,binance
2026-03-06 02:41:00+00:00,BTC-USD,1m,71234.08,71269.84,71218.64,71269.0,9.70066,binance
2026-03-06 02:42:00+00:00,BTC-USD,1m,71268.99,71272.85,71257.12,71269.0,2.2722,binance
2026-03-06 02:43:00+00:00,BTC-USD,1m,71269.0,71328.0,71268.99,71298.4,6.17507,binance
2026-03-06 02:44:00+00:00,BTC-USD,1m,71298.4,71347.25,71298.39,71347.25,17.38234,binance
